Category,Line Item,Detail,Amount
Personnel & Instruction,Lead Instructor,Brian McKinney — 6 cohorts x 8 weeks,$8000
Personnel & Instruction,Guest Instructors,6 cohorts x 2 guest instructors x stipend,$2000
Personnel & Instruction,Program Advisor,Robin Nelson MBA — strategy & program advisor,$1480
Community Technology Coordinator Support,Tech Coordinator,12 hrs x 6 cohorts x $35/hr — setup/breakdown/transport/photo/video/final report,$2520
Materials & Technology,AI Tool Subscriptions,Platform access for participants,$1500
Materials & Technology,Printed Materials,Workbooks and participant guides,$1500
Materials & Technology,Certificates & Gallery Materials,Digital Pioneer Artist Certificates,$500
Materials & Technology,AV & Display,Gallery installation and AV materials,$1000
Public Gallery Walk Events,6 Gallery Walk Exhibitions,Venue coordination/refreshments/printed programs/photography per event x 6,$6000
Outreach & Marketing,Community Outreach,Flyers/digital promotion/VisitAustin submissions,$1000
Outreach & Marketing,Social Media & Content,Exhibition documentation and content production,$1000
Outreach & Marketing,ACME Compliance,Logo and publicity compliance across all materials,$500
Program Administration,Grant Reporting,Compliance and financial tracking,$1500
Program Administration,Volunteer Coordination,Recruitment/training/coordination,$1500
TOTAL,,,$30000
