#,Category,Concern or Desire,Core Fear or Need,Cohort Digital Skills Training Response,Community Management & Development Response,Specific Program Element or Feature,Priority Level
1,CONCERN,AI Theft — No Consent No Credit No Pay,Artists fear their work is stolen and devalued by AI without permission or compensation,"Teach artists to understand how AI image generators work — what they scrape and why. Frame our training around human-authored art SUPPORTED by tech tools, never replaced by them. Participants learn to watermark, register, and document their work digitally.","Host community conversations about digital rights and artist protection. Share resources on copyright registration, DMCA takedowns, and Creative Commons licensing. Invite legal aid speakers to cohort graduation events.","Module: Digital Rights for Artists — copyright basics, watermarking, metadata embedding, AI opt-out tools (Nightshade, Glaze)",HIGH
2,CONCERN,AI Is Already Killing Freelance Income,Shrinking commercial market for illustration and design work,"Pivot training away from commodity digital skills (stock art, clip art) toward high-value personal expression and storytelling. Teach participants how to position their LIVED EXPERIENCE as a competitive advantage AI cannot replicate.","Build a referral network within the cohort community. Connect participants to local businesses, nonprofits, and city agencies seeking authentic human-made art for murals, events, and publications.","Module: Your Story is Your Brand — positioning authentic narrative as market differentiator. Partner referral board in community portal.",HIGH
3,CONCERN,Social Media Burnout and Algorithm Anxiety,Exhaustion from constant platform changes and performing for algorithms rather than building real audience,"Teach email list building as the foundation — participants own their audience. Social media taught as a tool to DRIVE people to owned channels, not as the destination. One platform mastered deeply, not five platforms poorly.","Create a cohort alumni newsletter community. Participants contribute artwork and stories to a shared newsletter. Teach community managers to curate and amplify member work across channels consistently.","Module: Own Your Audience — MailerLite setup, email list building, newsletter basics. Community tool: shared alumni gallery + newsletter.",HIGH
4,CONCERN,Authorship and Legitimacy — Who Made This,Fear that any use of technology undermines artistic credit and perceived value,"Emphasize and document the human creative process at every stage. Participants build a digital portfolio that shows PROCESS not just product — sketches, iterations, notes, voice memos. The journey proves authorship.","Train community managers to consistently attribute and celebrate individual artist stories. Every gallery walk and community post leads with the artist's name, backstory, and intent — not just the finished piece.","Portfolio module: Process Documentation — photo journals, voice notes, timestamped drafts. Community standard: artist-first attribution in all posts and publications.",HIGH
5,CONCERN,Tech Overwhelm — Tools Not Built for Artists,Solo creative running a business on enterprise tools designed for someone else,"Introduce only tools that serve creative workflow directly: Canva for design, MailerLite for email, Square or Wave for invoicing, Google Drive for file management. One tool per problem. Never more than three new tools per cohort cycle.","Assign a peer tech buddy within each cohort. More experienced community members mentor newcomers on specific tools. Create a community help channel (simple group chat or forum) for quick questions between sessions.","Tool stack: Canva + MailerLite + Wave (free invoicing) + Google Drive. Peer buddy system paired at cohort kickoff. Community help channel.",MEDIUM
6,CONCERN,Pricing Paralysis and Undercharging,Artists do not know their worth and are afraid to charge market rates,"Dedicate a full session to pricing frameworks: cost-plus, value-based, and comparable market pricing. Participants build a personal rate card during cohort. Practice saying their price out loud in pairs.","Facilitate a confidential pricing circle within the community — a safe space where members share what they charge and what the market will bear. Normalize talking about money as a professional skill, not a taboo.","Module: Know Your Worth — rate card builder worksheet, pricing framework, commission contract template. Community: monthly pricing check-in circle (private group).",HIGH
7,DESIRE,Community and Mentorship Over New Software,Artists want people who understand them more than they want another app,"Lead every cohort session with 15 minutes of peer sharing before any tech instruction. Build cohort identity around shared creative identity — 'Digital Pioneers' — not around tools or platforms.","Establish a tiered community structure: new participants, active alumni, volunteer mentors, and community champions. Train community managers to nurture transitions between tiers and recognize member milestones publicly.","Cohort culture: 15-min peer share opens every session. Community tiers: Pioneer (new) > Trailblazer (alumni) > Champion (mentor). Monthly community spotlight feature.",HIGH
8,DESIRE,Learn Tech on Their Terms — Creative Not Corporate,Creatives want tools framed around artistic identity not productivity metrics,"All technology instruction is delivered through a creative project — never abstract. Participants learn Canva by making a real event flyer. They learn email by writing to a real audience. The project IS the lesson.","Community managers host monthly show-and-tell sessions where members share what they made with a tool they just learned. Celebrate creative output publicly, not platform metrics or follower counts.","Project-based learning model: every tool introduced through a live creative project. Monthly community show-and-tell event. No vanity metrics celebrated — only creative output.",HIGH
9,DESIRE,Own Their Audience — Get Off the Platform Treadmill,Artists want direct relationships with collectors and fans they control,"Email list building is taught in session 2 of every cohort cycle — early and as non-negotiable. Participants leave with a live MailerLite account, a signup form, and their first 10 subscribers (cohort peers and friends).","Community platform uses a lightweight owned channel (email newsletter or private group) rather than a Facebook Group or Instagram dependency. Community managers build relationships that survive any algorithm change.","Cohort deliverable: every participant leaves with a live email list. Community infrastructure: email-first, platform-second. Community manager KPI: subscriber count, not follower count.",MEDIUM
10,DESIRE,Turn Creative Skill Into Stable Income Without Selling Out,Artists want to earn a living from their work while keeping their integrity and voice,"Teach multiple income streams as a portfolio: original sales, prints, commissions, licensing, teaching, and grants. Participants map their own income portfolio during cohort and identify which streams fit their lifestyle and energy.","Connect community members to real revenue opportunities: city art calls, library programming contracts, nonprofit mural commissions, and ACME grant cycles. Community managers act as opportunity scouts and post relevant leads weekly.","Module: Your Income Portfolio — income stream mapping worksheet, grant calendar, licensing basics. Community manager role includes weekly opportunity digest sent to all alumni.",HIGH
