Company Name,Contact First Name,Contact Last Name,Contact Email,Phone,Website,Deal Stage,Deal Name,Notes,Pipeline
NCOA (Digital Literacy Grant),,, digital.literacy@ncoa.org,,,Email Sent,NCOA Grant Cycle,$4500-$9000 grant. Sent intro email 4/24. Follow-up with MBE version week of 5/5.,Outreach Pipeline
Austin Public Library,Sharon,Herfurth,APLexec@austintexas.gov,(512) 974-7420,library.austintexas.gov,Email Sent,APL Partnership,Programs & Partnerships Mgr. Sent intro email 4/24. Call Sharon to follow up. LSTA funding angle.,Outreach Pipeline
Frameworks CDC,,,info@frameworkscdc.org,,(frameworkscdc.org),Email Sent,Frameworks CDC Partnership,East Austin CDC. Sent intro email 4/24. CDBG/WIOA/OAA funding angle.,Outreach Pipeline
Workforce Solutions Capital Area,,,(512) 597-7100,(512) 597-7100,,Research,WIOA ETP Application,Austin WIOA workforce board. Ask about ETP + WIOA funding. Reference TEGL 03-25.,Outreach Pipeline
Texas Workforce Commission,,,,,twc.texas.gov,Research,TWC ETP List,Apply to Eligible Training Provider list. Need credential partner first.,Outreach Pipeline
Capital IDEA,,,,,capitalidea.org,Research,Capital IDEA Partnership,Workforce training nonprofit Austin.,Outreach Pipeline
Skillpoint Alliance,,,,,skillpointalliance.org,Research,Skillpoint Partnership,Workforce training Austin.,Outreach Pipeline
YMCA of Austin,,,,,,,Follow-Up,YMCA Lunch & Learn,Door outreach at 50+ exercise class in progress. Find program coordinator.,Outreach Pipeline
Caritas of Austin,,,,,,,Research,Caritas Partnership,Social services 50+ population.,Outreach Pipeline
Austin Community College,,,,,,,Research,ACC Joint DOL+DOE Grant,Continuing Ed / Workforce. Joint grant application.,Outreach Pipeline
AARP Foundation,,,,,aarp.org,Research,AARP Digital Skills Ready@50+,1-855-850-2525. Partnership not grant. Lead with 13 locations/targeted 3x.,Outreach Pipeline
AARP AgeTech Collaborative,,,,,,Research,AgeTech Collaborative,Innovation partnership track.,Outreach Pipeline
AT&T Connected Possible,,,,,,,Research,AT&T CSR Pitch,Digital inclusion grants. Austin HQ. $2M+ annually.,Outreach Pipeline
Frost Bank,,,,,frostbank.com,Research,Frost Bank CRA Sponsor,$10K Pioneer Sponsor. CRA pitch. Find CRA Officer at Austin branch.,Outreach Pipeline
St. Davids Foundation,,,,,,,Research,St. Davids Health Equity Grant,Telehealth angle for 50+ digital literacy.,Outreach Pipeline
DOL AI Apprenticeship,,,,,sam.gov,Research,DOL AI Apprenticeship Sub,SAM.gov Notice 1605C2-26-R-00003. $243M. Sub role — find prime contractor.,Outreach Pipeline
Education Design Lab,,,,,credentialengine.org,Research,Ed Design Lab $3.5M RFP,Credential transparency. Weak fit unless credential gap closed.,Outreach Pipeline
Conley-Guerrero Senior Center,,,(512) 978-2660,(512) 978-2660,,Research,Conley-Guerrero Lunch & Learn,Proven venue from AARP days. Book first Lunch & Learn.,Outreach Pipeline
City of Austin ACME (Elevate Grant),,,,,austintexas.gov/arts-culture/elevate,Research,Elevate Grant 2026,**NEW** Up to $30K-$40K. App opens July 7 2026. Prep docs in 07-GRANTS/ELEVATE-2026/. Need arts/culture framing.,Grant Pipeline
City of Austin ACME (Nexus Grant),,,,,austintexas.gov/nexus,Research,Nexus Grant Round 2,**NEW** $5K award. App opens Sept 2026. Round 2 for activities Jan-Dec 2027.,Grant Pipeline
NEA (Challenge America),,,,,arts.gov/grants,Research,NEA Challenge America,**NEW** $10K grant for underserved communities. Deadline July 9 2026. Needs 501c3 or fiscal sponsor. 5 yrs arts programming req — may not qualify yet.,Grant Pipeline
PeopleFund (Austin CDFI),,,,(888) 222-0017,peoplefund.org,Research,PeopleFund Loan + Coaching,**NEW** Affordable loans + free coaching for MBE/BIPOC. Apply anytime. 2921 E 17th St Austin.,Outreach Pipeline
Texas Talent Connection,,,wpgrants@gov.texas.gov,,gov.texas.gov,Research,TX Talent Connection Grant,**NEW** Up to $350K/yr for workforce innovation. 2025 cycle closed. Email to get on 2026 alert list.,Grant Pipeline
Fractured Atlas (Fiscal Sponsor),,,,,fracturedatlas.org,Research,Fiscal Sponsor Bridge,**NEW** 5% fee. Fast approval. Bridge to unlock NEA + NCOA grants while 501c3 is pending.,Outreach Pipeline
City of Austin MBE Contracts,,,,512-974-7600,austintexas.gov/small-minority-business,Research,MBE Contract Opportunities,**NEW** Already MBE-certified. Check for open solicitations and set-aside contracts.,Outreach Pipeline
AARP Community Challenge,,,,,aarp.org/livable-communities/community-challenge,Research,AARP Community Challenge 2027,**NEW** Up to $15K. 2026 cycle CLOSED (March 4). Prep for 2027 cycle Feb/Mar 2027. Digital connections track.,Grant Pipeline
