Tool,Monthly,Annual,Billing,Coffees/mo,Purpose
Adobe Creative Cloud Education,$20.83,$250,Annual,3.3,"Premiere, Photoshop, Illustrator, Acrobat"
BuddyBoss,$16.67,$200,Annual,2.7,WordPress community. Renews Nov 2 2026
Canva Pro,$13.00,$156,Monthly,2.1,"Graphics, B-roll clips, thumbnails"
Claude Code,$100.00,$1200,Monthly,16.0,"AI agent, builder, automation, content"
Claude Pro,$20.00,$240,Monthly,3.2,"AI advisor, writing, research, strategy"
ElevenLabs Creator,$18.33,$220,Annual,2.9,Voice clone — podcast, voiceover. 100k credits/mo
Google Workspace Enterprise,$29.00,$348,Monthly,4.6,"Gmail, Drive, Docs, Meet, Calendar"
Grammarly Premium,$12.00,$144,Monthly,1.9,Writing polish
Hermes,$0,$0,Free,0,AI assistant
HeyGen,$24.00,$288,Monthly,3.8,Brian talking head videos
LearnDash,$18.67,$224,Annual,3.0,WordPress LMS — courses, quizzes, enrollment. Renews Nov 2 2026
Mailchimp Starter,$13.00,$156,Monthly,2.1,"Email marketing, Pioneer automation"
Manus Pro,$20.00,$240,Monthly,3.2,Autonomous agent — research, long-form tasks
Snagit,$16.58,$199,Annual,2.7,"Screenshots, screen recording, visual documentation"
TOTAL,$322.08,$3865,,51.6,Complete AI-powered business team
