#,Step,Category,Task,Details,Deadline,Reviewer Priority,To Do,Done,Compliance Flag
1,Step 1 - Bios,All Platforms,Collect your existing social URLs,"Fill in Instagram / Facebook / YouTube / LinkedIn / X / Google Business URLs — needed for grant app and MailerLite footer",ASAP,HIGH,YES,,
2,Step 1 - Bios,Instagram,Update Instagram bio,"Add line: Digital Pioneer Gallery · digitalpioneer.ai — Full bio: Digital skills for adults 50+ · Austin TX | Digital Pioneer Gallery · City of Austin ACME Elevate | digitalpioneer.ai",ASAP,CRITICAL,YES,,REVIEWER CHECKS THIS
3,Step 1 - Bios,Instagram,Create Highlight folder named Digital Pioneer Gallery,"Add gallery photos, cohort photos, or program posts to it",ASAP,HIGH,YES,,
4,Step 1 - Bios,Instagram,Pin most recent Digital Pioneer Gallery post to top of profile grid,,ASAP,HIGH,YES,,
5,Step 1 - Bios,Instagram,Use #DigitalPioneerGallery on every DPG-related post going forward,,Ongoing,MED,YES,,
6,Step 1 - Bios,Facebook,Update Facebook Page About / Short Description,"Go to Page > Edit Page Info > About. New copy: Digital skills training + public gallery exhibitions for adults 50+ in Austin TX. Home of the Digital Pioneer Gallery — a City of Austin ACME Elevate program. In-person at Austin Libraries + online. Free to apply.",ASAP,CRITICAL,YES,,REVIEWER CHECKS THIS
7,Step 1 - Bios,Facebook,Create Featured section on Facebook Page with DPG post or link,,ASAP,HIGH,YES,,
8,Step 1 - Bios,Facebook,Pin a Digital Pioneer Gallery post to top of Page feed,,ASAP,CRITICAL,YES,,REVIEWER CHECKS THIS
9,Step 1 - Bios,Facebook,Add digitalpioneer.ai as additional website under Page Info,,ASAP,HIGH,YES,,
10,Step 1 - Bios,Facebook,Create Facebook Event for first gallery walk,"Create as soon as gallery walk date is confirmed",When date confirmed,MED,YES,,
11,Step 1 - Bios,YouTube,Update YouTube channel description,"Go to YouTube Studio > Customization > Basic Info. Add: HOME OF THE DIGITAL PIONEER GALLERY — Austin's public gallery program for adults 50+. In-person at Austin Libraries · Live online · Public gallery openings. Apply free: digitalpioneer.ai",ASAP,HIGH,YES,,
12,Step 1 - Bios,YouTube,Create new playlist named Digital Pioneer Gallery,"YouTube Studio > Content > Playlists > New Playlist. Description: Art & Technology Exhibitions by Adults 50+ in Austin TX. A City of Austin ACME Elevate program by 50+TechBridge.",ASAP,CRITICAL,YES,,REVIEWER CHECKS THIS
13,Step 1 - Bios,YouTube,Add any existing related videos to the DPG playlist,,ASAP,CRITICAL,YES,,REVIEWER CHECKS THIS — must have at least 1 video before Aug 18
14,Step 1 - Bios,YouTube,Set DPG playlist to Public,,ASAP,CRITICAL,YES,,
15,Step 1 - Bios,YouTube,Copy DPG playlist URL and add to grant application,,Before Aug 18,HIGH,YES,,
16,Step 1 - Bios,LinkedIn,Update LinkedIn Page tagline,"New tagline: Digital skills for adults 50+ · Home of the Digital Pioneer Gallery · Austin TX",ASAP,MED,YES,,
17,Step 1 - Bios,LinkedIn,Add Digital Pioneer Gallery as a Product/Service,"LinkedIn Page > Products tab > Add Product. Name: Digital Pioneer Gallery. Description: Austin's free public gallery program for adults 50+... Link: digitalpioneer.ai",ASAP,MED,YES,,
18,Step 1 - Bios,X / Twitter,Update X/Twitter bio,"Bio (160 char): Digital skills for adults 50+ · Austin TX · Home of Digital Pioneer Gallery · City of Austin ACME Elevate · digitalpioneer.ai",ASAP,MED,YES,,
19,Step 2 - Google Business,Google,Create Google Business Profile for Digital Pioneer Gallery,"Go to business.google.com — sign in with business Google account",ASAP,CRITICAL,YES,,REVIEWER GOOGLES THIS FIRST
20,Step 2 - Google Business,Google,Set business name to Digital Pioneer Gallery,,ASAP,CRITICAL,YES,,
21,Step 2 - Google Business,Google,Set primary category to Art Gallery and secondary to Community Center,,ASAP,HIGH,YES,,
22,Step 2 - Google Business,Google,"Set location type to: I serve customers at their location (no storefront)",,ASAP,HIGH,YES,,
23,Step 2 - Google Business,Google,Set service area to Austin TX — Travis County,,ASAP,HIGH,YES,,
24,Step 2 - Google Business,Google,Add business phone number,,ASAP,HIGH,YES,,
