Category,Line Item,Detail,Amount
Personnel & Instruction,Lead Instructor,Brian McKinney — 5 cohorts x 8 weeks,$5500
Personnel & Instruction,Guest Instructors,5 cohorts x 2 guest instructors x $400 per appearance,$4000
Personnel & Instruction,Program Advisor,Robin Nelson MBA — strategy & program advisor,$1500
Community Technology Coordinator Support,Tech Coordinator,12 hrs x 5 cohorts x $35/hr — setup/breakdown/transport/photo/video/final report,$2100
Materials & Technology,Digital & AI Platform Subscriptions,Platform access for participants,$1500
Materials & Technology,Printed Materials,Workbooks and participant guides,$1400
Materials & Technology,Certificates & Gallery Materials,Digital Pioneer Artist Certificates,$500
Materials & Technology,AV & Display,Gallery installation and AV materials,$1000
Public Gallery Walk Events,4 Standard Gallery Walk Exhibitions,Venue coordination/refreshments/printed programs/photography x 4 events @ $1500,$6000
Public Gallery Walk Events,1 Grand Gallery Walk Finale (Cohort 5),All-disciplines unified exhibition — Austin Public Library Grand Gallery,$2000
Outreach & Marketing,Community Outreach,Flyers/digital promotion/VisitAustin submissions,$1000
Outreach & Marketing,Social Media & Content,Exhibition documentation and content production,$1000
Outreach & Marketing,ACME Compliance,Logo and publicity compliance across all materials,$500
Program Administration,Grant Reporting,Compliance and financial tracking,$1000
Program Administration,Volunteer Coordination,Recruitment/training/coordination,$1000
TOTAL,,,$30000
